wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/shuka/.netrc.
wandb: Currently logged in as: shukanth2004 (shukanth2004-the-ohio-state-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.0
wandb: Run data is saved locally in /Users/shuka/Documents/vscode/mechanistic_interpretability/wandb/run-20260517_171815-16hmi1rh
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run n4-wd0.2-200k-seed0
wandb: ⭐️ View project at https://wandb.ai/shukanth2004-the-ohio-state-university/mechinterp
wandb: 🚀 View run at https://wandb.ai/shukanth2004-the-ohio-state-university/mechinterp/runs/16hmi1rh
Generating dataset: n_nodes=4, n_graphs=200, dataset_seed=42
  train: 1,920 samples | val: 480 samples | vocab size: 8 | seq len: 21
Training: lr=0.001, wd=0.2, n_steps=200,000, seed=0
step    500 | train loss 0.4933 | train acc 0.781 | val loss 1.1390 | val acc 0.602 | ‖g‖ 1.6562 | 6s
step  27500 | train loss 0.0373 | train acc 0.984 | val loss 1.6735 | val acc 0.673 | ‖g‖ 3.1736 | 345s
step  28000 | train loss 0.1550 | train acc 0.961 | val loss 2.0629 | val acc 0.669 | ‖g‖ 6.2726 | 352s
step  28500 | train loss 0.0243 | train acc 0.992 | val loss 1.8508 | val acc 0.671 | ‖g‖ 2.8706 | 359s
step  29000 | train loss 0.0195 | train acc 1.000 | val loss 1.9119 | val acc 0.667 | ‖g‖ 1.6386 | 366s
step  29500 | train loss 0.0017 | train acc 1.000 | val loss 1.9634 | val acc 0.685 | ‖g‖ 0.1180 | 373s
step  30000 | train loss 0.0709 | train acc 0.977 | val loss 1.7320 | val acc 0.667 | ‖g‖ 4.7617 | 380s
step  30500 | train loss 0.0233 | train acc 0.992 | val loss 1.8245 | val acc 0.671 | ‖g‖ 1.9392 | 386s
step  31000 | train loss 0.0013 | train acc 1.000 | val loss 1.9331 | val acc 0.698 | ‖g‖ 0.0661 | 393s
step  31500 | train loss 0.5770 | train acc 0.797 | val loss 1.0581 | val acc 0.669 | ‖g‖ 8.4406 | 399s
step  32000 | train loss 0.1579 | train acc 0.961 | val loss 1.6093 | val acc 0.702 | ‖g‖ 5.9476 | 406s
step  32500 | train loss 0.0017 | train acc 1.000 | val loss 1.9553 | val acc 0.698 | ‖g‖ 0.0880 | 413s
step  33000 | train loss 0.0264 | train acc 0.992 | val loss 2.0467 | val acc 0.665 | ‖g‖ 2.9528 | 421s
step  33500 | train loss 0.0071 | train acc 1.000 | val loss 1.9066 | val acc 0.675 | ‖g‖ 0.4971 | 428s
step  34000 | train loss 0.0306 | train acc 1.000 | val loss 1.5730 | val acc 0.700 | ‖g‖ 2.2714 | 436s
step  34500 | train loss 0.0013 | train acc 1.000 | val loss 1.8909 | val acc 0.694 | ‖g‖ 0.1262 | 445s
step  35000 | train loss 0.3830 | train acc 0.836 | val loss 0.8911 | val acc 0.665 | ‖g‖ 6.5173 | 451s
step  35500 | train loss 0.0599 | train acc 0.977 | val loss 1.6217 | val acc 0.694 | ‖g‖ 4.5994 | 459s
step  36000 | train loss 0.0435 | train acc 0.984 | val loss 1.7926 | val acc 0.660 | ‖g‖ 3.1454 | 467s
step  36500 | train loss 0.0029 | train acc 1.000 | val loss 1.9311 | val acc 0.671 | ‖g‖ 0.2616 | 475s
step  37000 | train loss 0.0015 | train acc 1.000 | val loss 1.9297 | val acc 0.685 | ‖g‖ 0.1350 | 481s
step  37500 | train loss 0.0187 | train acc 1.000 | val loss 1.7571 | val acc 0.692 | ‖g‖ 1.3894 | 488s
step  38000 | train loss 0.0051 | train acc 1.000 | val loss 2.0124 | val acc 0.688 | ‖g‖ 0.8132 | 495s
step  38500 | train loss 0.0383 | train acc 0.984 | val loss 1.8438 | val acc 0.679 | ‖g‖ 3.3782 | 503s
step  39000 | train loss 0.0011 | train acc 1.000 | val loss 1.9908 | val acc 0.696 | ‖g‖ 0.0532 | 510s
step  39500 | train loss 0.1171 | train acc 0.969 | val loss 1.5358 | val acc 0.646 | ‖g‖ 6.1138 | 517s
step  40000 | train loss 0.0399 | train acc 0.977 | val loss 1.9394 | val acc 0.677 | ‖g‖ 2.7605 | 525s
step  40500 | train loss 0.0018 | train acc 1.000 | val loss 2.0746 | val acc 0.685 | ‖g‖ 0.2341 | 532s
step  41000 | train loss 0.0021 | train acc 1.000 | val loss 1.9350 | val acc 0.700 | ‖g‖ 0.2981 | 539s
step  41500 | train loss 0.0530 | train acc 0.984 | val loss 1.4571 | val acc 0.679 | ‖g‖ 3.0223 | 546s
step  42000 | train loss 0.0018 | train acc 1.000 | val loss 1.9784 | val acc 0.702 | ‖g‖ 0.1202 | 553s
step  42500 | train loss 0.0020 | train acc 1.000 | val loss 1.9169 | val acc 0.696 | ‖g‖ 0.2642 | 559s
step  43000 | train loss 0.0156 | train acc 1.000 | val loss 1.8301 | val acc 0.692 | ‖g‖ 1.5210 | 567s
step  43500 | train loss 0.0019 | train acc 1.000 | val loss 1.9177 | val acc 0.702 | ‖g‖ 0.1430 | 576s
step  44000 | train loss 0.0024 | train acc 1.000 | val loss 1.9714 | val acc 0.706 | ‖g‖ 0.4211 | 584s
step  44500 | train loss 0.1328 | train acc 0.953 | val loss 1.6678 | val acc 0.667 | ‖g‖ 6.5608 | 591s
step  45000 | train loss 0.0066 | train acc 1.000 | val loss 1.7901 | val acc 0.692 | ‖g‖ 0.5596 | 599s
step  45500 | train loss 0.0011 | train acc 1.000 | val loss 1.8258 | val acc 0.710 | ‖g‖ 0.0624 | 607s
step  46000 | train loss 0.0468 | train acc 0.992 | val loss 1.9755 | val acc 0.671 | ‖g‖ 5.0292 | 614s
step  46500 | train loss 0.0016 | train acc 1.000 | val loss 1.7630 | val acc 0.704 | ‖g‖ 0.1542 | 622s
step  47000 | train loss 0.0017 | train acc 1.000 | val loss 1.8389 | val acc 0.706 | ‖g‖ 0.2077 | 629s
step  47500 | train loss 0.0473 | train acc 0.977 | val loss 1.6679 | val acc 0.694 | ‖g‖ 3.6770 | 636s
step  48000 | train loss 0.0142 | train acc 1.000 | val loss 1.6787 | val acc 0.721 | ‖g‖ 2.4183 | 644s
step  48500 | train loss 0.0014 | train acc 1.000 | val loss 1.6558 | val acc 0.704 | ‖g‖ 0.0791 | 652s
step  49000 | train loss 0.0175 | train acc 0.992 | val loss 1.5022 | val acc 0.700 | ‖g‖ 1.3902 | 660s
step  49500 | train loss 0.0151 | train acc 0.992 | val loss 1.5666 | val acc 0.706 | ‖g‖ 1.5977 | 668s
step  50000 | train loss 0.0014 | train acc 1.000 | val loss 1.6578 | val acc 0.717 | ‖g‖ 0.0953 | 703s
step  50500 | train loss 0.0927 | train acc 0.969 | val loss 1.1936 | val acc 0.731 | ‖g‖ 5.0963 | 711s
step  51000 | train loss 0.0074 | train acc 1.000 | val loss 1.5926 | val acc 0.713 | ‖g‖ 0.8413 | 716s
step  51500 | train loss 0.0342 | train acc 0.984 | val loss 1.4029 | val acc 0.744 | ‖g‖ 3.7726 | 722s
step  52000 | train loss 0.0190 | train acc 0.992 | val loss 1.7159 | val acc 0.742 | ‖g‖ 3.4128 | 728s
step  52500 | train loss 0.0014 | train acc 1.000 | val loss 1.5585 | val acc 0.744 | ‖g‖ 0.0941 | 734s
step  53000 | train loss 0.1135 | train acc 0.945 | val loss 1.1390 | val acc 0.742 | ‖g‖ 6.6887 | 740s
step  53500 | train loss 0.0015 | train acc 1.000 | val loss 1.3288 | val acc 0.762 | ‖g‖ 0.1069 | 837s
step  54000 | train loss 0.0013 | train acc 1.000 | val loss 1.3832 | val acc 0.777 | ‖g‖ 0.1033 | 843s
step  54500 | train loss 0.0461 | train acc 0.984 | val loss 1.0210 | val acc 0.794 | ‖g‖ 5.2374 | 850s
step  55000 | train loss 0.0038 | train acc 1.000 | val loss 1.0604 | val acc 0.817 | ‖g‖ 0.8227 | 857s
step  55500 | train loss 0.0018 | train acc 1.000 | val loss 1.0738 | val acc 0.812 | ‖g‖ 0.1347 | 862s
step  56000 | train loss 0.2544 | train acc 0.906 | val loss 0.5430 | val acc 0.802 | ‖g‖ 4.1467 | 868s
step  56500 | train loss 0.0178 | train acc 0.992 | val loss 0.5645 | val acc 0.885 | ‖g‖ 1.7875 | 873s
step  57000 | train loss 0.0014 | train acc 1.000 | val loss 0.7321 | val acc 0.856 | ‖g‖ 0.1223 | 879s
step  57500 | train loss 0.0228 | train acc 1.000 | val loss 0.5152 | val acc 0.881 | ‖g‖ 1.5066 | 1096s
step  58000 | train loss 0.0011 | train acc 1.000 | val loss 0.6737 | val acc 0.875 | ‖g‖ 0.0677 | 1101s
step  58500 | train loss 0.0013 | train acc 1.000 | val loss 0.6359 | val acc 0.877 | ‖g‖ 0.1850 | 1107s
step  59000 | train loss 0.0847 | train acc 0.977 | val loss 0.6320 | val acc 0.873 | ‖g‖ 3.1189 | 1114s
step  59500 | train loss 0.0010 | train acc 1.000 | val loss 0.6017 | val acc 0.902 | ‖g‖ 0.0785 | 1123s
step  60000 | train loss 0.0010 | train acc 1.000 | val loss 0.5842 | val acc 0.902 | ‖g‖ 0.0719 | 1136s
step  60500 | train loss 0.0753 | train acc 0.969 | val loss 0.4158 | val acc 0.902 | ‖g‖ 4.5718 | 1445s
step  61000 | train loss 0.0011 | train acc 1.000 | val loss 0.5372 | val acc 0.912 | ‖g‖ 0.0652 | 1451s
step  61500 | train loss 0.0114 | train acc 1.000 | val loss 0.4831 | val acc 0.894 | ‖g‖ 1.5754 | 1457s
step  62000 | train loss 0.0008 | train acc 1.000 | val loss 0.5388 | val acc 0.910 | ‖g‖ 0.0431 | 1471s
step  62500 | train loss 0.0004 | train acc 1.000 | val loss 0.5567 | val acc 0.900 | ‖g‖ 0.0630 | 1478s
step  63000 | train loss 0.0369 | train acc 0.984 | val loss 0.4201 | val acc 0.887 | ‖g‖ 2.4599 | 1485s
step  63500 | train loss 0.0010 | train acc 1.000 | val loss 0.4807 | val acc 0.912 | ‖g‖ 0.0580 | 2046s
step  64000 | train loss 0.0009 | train acc 1.000 | val loss 0.4985 | val acc 0.908 | ‖g‖ 0.0777 | 2052s
step  64500 | train loss 0.0017 | train acc 1.000 | val loss 0.5162 | val acc 0.902 | ‖g‖ 0.6205 | 2062s
step  65000 | train loss 0.0330 | train acc 0.977 | val loss 0.4144 | val acc 0.915 | ‖g‖ 2.8484 | 2069s
step  65500 | train loss 0.0006 | train acc 1.000 | val loss 0.4164 | val acc 0.917 | ‖g‖ 0.0316 | 2076s
step  66000 | train loss 0.0009 | train acc 1.000 | val loss 0.4444 | val acc 0.915 | ‖g‖ 0.0959 | 2083s
step  66500 | train loss 0.0207 | train acc 0.992 | val loss 0.4591 | val acc 0.898 | ‖g‖ 2.6556 | 2095s
step  67000 | train loss 0.0013 | train acc 1.000 | val loss 0.4099 | val acc 0.923 | ‖g‖ 0.0688 | 2101s
step  67500 | train loss 0.0011 | train acc 1.000 | val loss 0.4195 | val acc 0.919 | ‖g‖ 0.0796 | 2112s
step  68000 | train loss 0.0007 | train acc 1.000 | val loss 0.4634 | val acc 0.908 | ‖g‖ 0.0706 | 2121s
step  68500 | train loss 0.0148 | train acc 1.000 | val loss 0.3398 | val acc 0.898 | ‖g‖ 1.8531 | 2129s
step  69000 | train loss 0.0008 | train acc 1.000 | val loss 0.4060 | val acc 0.921 | ‖g‖ 0.0324 | 2137s
step  69500 | train loss 0.0009 | train acc 1.000 | val loss 0.4241 | val acc 0.919 | ‖g‖ 0.0592 | 2147s
step  70000 | train loss 0.0451 | train acc 0.977 | val loss 0.3546 | val acc 0.915 | ‖g‖ 3.8210 | 2153s
step  70500 | train loss 0.0358 | train acc 0.984 | val loss 0.3788 | val acc 0.917 | ‖g‖ 4.4037 | 2160s
step  71000 | train loss 0.0007 | train acc 1.000 | val loss 0.3872 | val acc 0.925 | ‖g‖ 0.0451 | 2166s
step  71500 | train loss 0.0008 | train acc 1.000 | val loss 0.4098 | val acc 0.917 | ‖g‖ 0.0544 | 2172s
step  72000 | train loss 0.0009 | train acc 1.000 | val loss 0.4245 | val acc 0.904 | ‖g‖ 0.0923 | 2179s
step  72500 | train loss 0.0118 | train acc 0.992 | val loss 0.4239 | val acc 0.906 | ‖g‖ 2.1153 | 2185s
step  73000 | train loss 0.0009 | train acc 1.000 | val loss 0.3823 | val acc 0.921 | ‖g‖ 0.0596 | 2190s
step  73500 | train loss 0.0006 | train acc 1.000 | val loss 0.3850 | val acc 0.919 | ‖g‖ 0.0441 | 2197s
step  74000 | train loss 0.0617 | train acc 0.984 | val loss 0.2583 | val acc 0.919 | ‖g‖ 3.0566 | 2203s
step  74500 | train loss 0.0074 | train acc 1.000 | val loss 0.4050 | val acc 0.912 | ‖g‖ 0.6487 | 2210s
step  75000 | train loss 0.0011 | train acc 1.000 | val loss 0.4197 | val acc 0.912 | ‖g‖ 0.0851 | 2216s
step  75500 | train loss 0.0009 | train acc 1.000 | val loss 0.4446 | val acc 0.915 | ‖g‖ 0.0657 | 2223s
step  76000 | train loss 0.0036 | train acc 1.000 | val loss 0.4363 | val acc 0.904 | ‖g‖ 0.2654 | 2229s
step  76500 | train loss 0.0009 | train acc 1.000 | val loss 0.4343 | val acc 0.910 | ‖g‖ 0.0438 | 2234s
step  77000 | train loss 0.0007 | train acc 1.000 | val loss 0.4639 | val acc 0.917 | ‖g‖ 0.0488 | 2241s
step  77500 | train loss 0.0955 | train acc 0.969 | val loss 0.4185 | val acc 0.890 | ‖g‖ 5.2848 | 2248s
step  78000 | train loss 0.0006 | train acc 1.000 | val loss 0.4298 | val acc 0.917 | ‖g‖ 0.0425 | 2256s
step  78500 | train loss 0.0008 | train acc 1.000 | val loss 0.4685 | val acc 0.917 | ‖g‖ 0.1013 | 2262s
step  79000 | train loss 0.0165 | train acc 0.992 | val loss 0.3374 | val acc 0.910 | ‖g‖ 1.4224 | 2268s
step  79500 | train loss 0.0008 | train acc 1.000 | val loss 0.4637 | val acc 0.910 | ‖g‖ 0.0344 | 2275s
step  80000 | train loss 0.0006 | train acc 1.000 | val loss 0.4942 | val acc 0.906 | ‖g‖ 0.0613 | 2282s
step  80500 | train loss 0.0475 | train acc 0.977 | val loss 0.3867 | val acc 0.892 | ‖g‖ 3.1619 | 2288s
step  81000 | train loss 0.0010 | train acc 1.000 | val loss 0.4610 | val acc 0.917 | ‖g‖ 0.0860 | 2294s
step  81500 | train loss 0.0007 | train acc 1.000 | val loss 0.4989 | val acc 0.902 | ‖g‖ 0.0917 | 2302s
step  82000 | train loss 0.0034 | train acc 1.000 | val loss 0.4043 | val acc 0.912 | ‖g‖ 0.3337 | 2308s
step  82500 | train loss 0.0005 | train acc 1.000 | val loss 0.4182 | val acc 0.919 | ‖g‖ 0.0413 | 2314s
step  83000 | train loss 0.0005 | train acc 1.000 | val loss 0.4597 | val acc 0.912 | ‖g‖ 0.0379 | 2320s
step  83500 | train loss 0.0042 | train acc 1.000 | val loss 0.4312 | val acc 0.904 | ‖g‖ 0.6346 | 2327s
step  84000 | train loss 0.0009 | train acc 1.000 | val loss 0.4454 | val acc 0.912 | ‖g‖ 0.0531 | 2334s
step  84500 | train loss 0.0009 | train acc 1.000 | val loss 0.4940 | val acc 0.910 | ‖g‖ 0.0997 | 2340s
step  85000 | train loss 0.0066 | train acc 1.000 | val loss 0.4355 | val acc 0.900 | ‖g‖ 0.4168 | 2347s
step  85500 | train loss 0.0009 | train acc 1.000 | val loss 0.4676 | val acc 0.921 | ‖g‖ 0.0513 | 2353s
step  86000 | train loss 0.0010 | train acc 1.000 | val loss 0.5097 | val acc 0.915 | ‖g‖ 0.0731 | 2360s
step  86500 | train loss 0.0139 | train acc 1.000 | val loss 0.3111 | val acc 0.908 | ‖g‖ 0.5775 | 2367s
step  87000 | train loss 0.0356 | train acc 0.984 | val loss 0.4867 | val acc 0.881 | ‖g‖ 2.4761 | 2374s
step  87500 | train loss 0.0009 | train acc 1.000 | val loss 0.4359 | val acc 0.912 | ‖g‖ 0.0546 | 2380s
step  88000 | train loss 0.0018 | train acc 1.000 | val loss 0.4454 | val acc 0.906 | ‖g‖ 0.1532 | 2387s
step  88500 | train loss 0.0008 | train acc 1.000 | val loss 0.4802 | val acc 0.915 | ‖g‖ 0.0498 | 2395s
step  89000 | train loss 0.0611 | train acc 0.984 | val loss 0.2638 | val acc 0.910 | ‖g‖ 2.0969 | 2403s
step  89500 | train loss 0.0006 | train acc 1.000 | val loss 0.4595 | val acc 0.908 | ‖g‖ 0.0294 | 2409s
step  90000 | train loss 0.0008 | train acc 1.000 | val loss 0.4576 | val acc 0.910 | ‖g‖ 0.0575 | 2417s
step  90500 | train loss 0.0005 | train acc 1.000 | val loss 0.5068 | val acc 0.912 | ‖g‖ 0.0423 | 2424s
step  91000 | train loss 0.0007 | train acc 1.000 | val loss 0.4663 | val acc 0.904 | ‖g‖ 0.0443 | 2431s
step  91500 | train loss 0.0005 | train acc 1.000 | val loss 0.5085 | val acc 0.904 | ‖g‖ 0.0405 | 2438s
step  92000 | train loss 0.0011 | train acc 1.000 | val loss 0.5626 | val acc 0.908 | ‖g‖ 0.2098 | 2447s
step  92500 | train loss 0.0007 | train acc 1.000 | val loss 0.4519 | val acc 0.912 | ‖g‖ 0.0307 | 2456s
step  93000 | train loss 0.0005 | train acc 1.000 | val loss 0.4809 | val acc 0.912 | ‖g‖ 0.0429 | 2646s
step  93500 | train loss 0.0007 | train acc 1.000 | val loss 0.5298 | val acc 0.910 | ‖g‖ 0.0704 | 2652s
step  94000 | train loss 0.0371 | train acc 0.992 | val loss 0.4483 | val acc 0.912 | ‖g‖ 2.7332 | 2663s
step  94500 | train loss 0.0007 | train acc 1.000 | val loss 0.4536 | val acc 0.915 | ‖g‖ 0.0379 | 2670s
step  95000 | train loss 0.0034 | train acc 1.000 | val loss 0.4974 | val acc 0.904 | ‖g‖ 0.6778 | 2677s
step  95500 | train loss 0.0007 | train acc 1.000 | val loss 0.4607 | val acc 0.912 | ‖g‖ 0.0366 | 2685s
step  96000 | train loss 0.0008 | train acc 1.000 | val loss 0.5105 | val acc 0.910 | ‖g‖ 0.1051 | 3013s
step  96500 | train loss 0.0032 | train acc 1.000 | val loss 0.4275 | val acc 0.912 | ‖g‖ 0.3186 | 3019s
step  97000 | train loss 0.0009 | train acc 1.000 | val loss 0.4709 | val acc 0.910 | ‖g‖ 0.0453 | 3026s
step  97500 | train loss 0.0394 | train acc 0.992 | val loss 0.2915 | val acc 0.902 | ‖g‖ 1.4435 | 3033s
step  98000 | train loss 0.0008 | train acc 1.000 | val loss 0.4544 | val acc 0.915 | ‖g‖ 0.0343 | 3041s
step  98500 | train loss 0.0011 | train acc 1.000 | val loss 0.4988 | val acc 0.917 | ‖g‖ 0.0768 | 3048s
step  99000 | train loss 0.0376 | train acc 0.992 | val loss 0.4133 | val acc 0.904 | ‖g‖ 2.4743 | 3056s
step  99500 | train loss 0.0007 | train acc 1.000 | val loss 0.4415 | val acc 0.917 | ‖g‖ 0.0332 | 3248s
step 100000 | train loss 0.0010 | train acc 1.000 | val loss 0.4940 | val acc 0.915 | ‖g‖ 0.0838 | 3253s
step 100500 | train loss 0.1795 | train acc 0.961 | val loss 0.3569 | val acc 0.877 | ‖g‖ 5.1718 | 3258s
step 101000 | train loss 0.0013 | train acc 1.000 | val loss 0.4248 | val acc 0.912 | ‖g‖ 0.0679 | 3264s
step 101500 | train loss 0.0006 | train acc 1.000 | val loss 0.4438 | val acc 0.921 | ‖g‖ 0.0424 | 3273s
step 102000 | train loss 0.0009 | train acc 1.000 | val loss 0.4992 | val acc 0.915 | ‖g‖ 0.0666 | 3281s
step 102500 | train loss 0.0013 | train acc 1.000 | val loss 0.4316 | val acc 0.908 | ‖g‖ 0.1219 | 3580s
step 103000 | train loss 0.0007 | train acc 1.000 | val loss 0.4574 | val acc 0.908 | ‖g‖ 0.0379 | 3586s
step 103500 | train loss 0.0007 | train acc 1.000 | val loss 0.4898 | val acc 0.917 | ‖g‖ 0.1191 | 3591s
step 104000 | train loss 0.0210 | train acc 0.992 | val loss 0.4063 | val acc 0.915 | ‖g‖ 1.5724 | 3597s
step 104500 | train loss 0.0006 | train acc 1.000 | val loss 0.4667 | val acc 0.906 | ‖g‖ 0.0363 | 3606s
