wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/shuka/.netrc.
wandb: Currently logged in as: shukanth2004 (shukanth2004-the-ohio-state-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run ltnzuugz
wandb: Tracking run with wandb version 0.27.0
wandb: Run data is saved locally in /Users/shuka/Documents/vscode/mechanistic_interpretability/wandb/run-20260517_194655-ltnzuugz
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run n4-wd0.4-200k-seed0
wandb: ⭐️ View project at https://wandb.ai/shukanth2004-the-ohio-state-university/mechinterp
wandb: 🚀 View run at https://wandb.ai/shukanth2004-the-ohio-state-university/mechinterp/runs/ltnzuugz
Generating dataset: n_nodes=4, n_graphs=200, dataset_seed=42
  train: 1,920 samples | val: 480 samples | vocab size: 8 | seq len: 21
Training: lr=0.001, wd=0.4, n_steps=200,000, seed=0
step     10 | train loss 1.3197 | train acc 0.422 | val loss 1.2755 | val acc 0.456 | ‖g‖ 3.6892 | 1s
step    160 | train loss 0.8667 | train acc 0.648 | val loss 1.1115 | val acc 0.537 | ‖g‖ 1.5573 | 3s
step    170 | train loss 0.8001 | train acc 0.719 | val loss 1.0867 | val acc 0.527 | ‖g‖ 1.7903 | 3s
step    180 | train loss 0.8387 | train acc 0.648 | val loss 1.0917 | val acc 0.537 | ‖g‖ 1.9465 | 3s
step    190 | train loss 0.8358 | train acc 0.688 | val loss 1.0612 | val acc 0.550 | ‖g‖ 1.6406 | 3s
step    200 | train loss 0.7211 | train acc 0.711 | val loss 1.0725 | val acc 0.573 | ‖g‖ 2.0251 | 3s
step    210 | train loss 0.8815 | train acc 0.625 | val loss 1.1171 | val acc 0.577 | ‖g‖ 3.2108 | 3s
step    220 | train loss 0.6459 | train acc 0.742 | val loss 1.0951 | val acc 0.554 | ‖g‖ 1.6338 | 3s
step    230 | train loss 0.6887 | train acc 0.750 | val loss 1.0656 | val acc 0.554 | ‖g‖ 2.0411 | 3s
step    240 | train loss 0.7439 | train acc 0.656 | val loss 1.0664 | val acc 0.565 | ‖g‖ 1.6445 | 4s
step    250 | train loss 0.8395 | train acc 0.688 | val loss 1.1351 | val acc 0.592 | ‖g‖ 3.3735 | 4s
step    260 | train loss 0.5783 | train acc 0.773 | val loss 1.1872 | val acc 0.583 | ‖g‖ 2.0180 | 4s
step    270 | train loss 0.7876 | train acc 0.695 | val loss 1.0998 | val acc 0.550 | ‖g‖ 2.3011 | 4s
step    280 | train loss 0.6180 | train acc 0.742 | val loss 1.0839 | val acc 0.588 | ‖g‖ 2.6177 | 4s
step    290 | train loss 0.5885 | train acc 0.742 | val loss 1.0732 | val acc 0.569 | ‖g‖ 2.3499 | 4s
step    300 | train loss 0.6521 | train acc 0.750 | val loss 1.1710 | val acc 0.606 | ‖g‖ 2.1776 | 4s
step    310 | train loss 0.5692 | train acc 0.750 | val loss 1.1052 | val acc 0.583 | ‖g‖ 2.0788 | 4s
step    320 | train loss 0.6953 | train acc 0.719 | val loss 1.1418 | val acc 0.556 | ‖g‖ 2.0876 | 5s
step    330 | train loss 0.5153 | train acc 0.773 | val loss 1.1294 | val acc 0.581 | ‖g‖ 1.9214 | 5s
step    340 | train loss 0.6332 | train acc 0.750 | val loss 1.1292 | val acc 0.577 | ‖g‖ 2.3189 | 5s
step    350 | train loss 0.5760 | train acc 0.734 | val loss 1.1329 | val acc 0.573 | ‖g‖ 2.4663 | 5s
step    360 | train loss 0.6227 | train acc 0.773 | val loss 1.1723 | val acc 0.558 | ‖g‖ 2.9527 | 5s
step    370 | train loss 0.6901 | train acc 0.742 | val loss 1.1019 | val acc 0.585 | ‖g‖ 2.5912 | 5s
step    380 | train loss 0.5553 | train acc 0.805 | val loss 1.1469 | val acc 0.604 | ‖g‖ 2.5231 | 5s
step    390 | train loss 0.7888 | train acc 0.695 | val loss 1.1809 | val acc 0.577 | ‖g‖ 3.8667 | 5s
step    400 | train loss 0.4862 | train acc 0.805 | val loss 1.1358 | val acc 0.590 | ‖g‖ 2.2332 | 5s
step    410 | train loss 0.6323 | train acc 0.758 | val loss 1.1603 | val acc 0.560 | ‖g‖ 2.2434 | 6s
step    420 | train loss 0.5478 | train acc 0.766 | val loss 1.2106 | val acc 0.592 | ‖g‖ 2.3684 | 6s
step    430 | train loss 0.5605 | train acc 0.805 | val loss 1.1247 | val acc 0.590 | ‖g‖ 2.2720 | 6s
step    440 | train loss 0.4591 | train acc 0.828 | val loss 1.1619 | val acc 0.594 | ‖g‖ 1.7214 | 6s
step    450 | train loss 0.5058 | train acc 0.789 | val loss 1.1498 | val acc 0.596 | ‖g‖ 2.0959 | 6s
step    460 | train loss 0.5799 | train acc 0.766 | val loss 1.2096 | val acc 0.573 | ‖g‖ 2.3399 | 6s
step    470 | train loss 0.4423 | train acc 0.836 | val loss 1.1859 | val acc 0.560 | ‖g‖ 2.7679 | 6s
step    480 | train loss 0.7103 | train acc 0.711 | val loss 1.2140 | val acc 0.573 | ‖g‖ 4.2261 | 6s
step    490 | train loss 0.5286 | train acc 0.781 | val loss 1.1191 | val acc 0.610 | ‖g‖ 2.5488 | 6s
step    500 | train loss 0.4557 | train acc 0.844 | val loss 1.1580 | val acc 0.613 | ‖g‖ 2.4326 | 7s
step    510 | train loss 0.4721 | train acc 0.781 | val loss 1.1760 | val acc 0.590 | ‖g‖ 2.6425 | 7s
step    520 | train loss 0.4692 | train acc 0.820 | val loss 1.2702 | val acc 0.592 | ‖g‖ 1.8710 | 7s
step    530 | train loss 0.5146 | train acc 0.812 | val loss 1.3292 | val acc 0.594 | ‖g‖ 2.6087 | 7s
step    540 | train loss 0.4046 | train acc 0.852 | val loss 1.2371 | val acc 0.590 | ‖g‖ 2.9402 | 7s
step    550 | train loss 0.5134 | train acc 0.781 | val loss 1.3163 | val acc 0.581 | ‖g‖ 2.8734 | 7s
step    560 | train loss 0.5893 | train acc 0.750 | val loss 1.2500 | val acc 0.596 | ‖g‖ 3.2156 | 7s
step    570 | train loss 0.5498 | train acc 0.750 | val loss 1.2951 | val acc 0.558 | ‖g‖ 2.6584 | 7s
step    580 | train loss 0.4589 | train acc 0.781 | val loss 1.2758 | val acc 0.535 | ‖g‖ 2.8947 | 7s
step    590 | train loss 0.5039 | train acc 0.820 | val loss 1.2256 | val acc 0.585 | ‖g‖ 2.5733 | 8s
step    600 | train loss 0.3734 | train acc 0.852 | val loss 1.2914 | val acc 0.573 | ‖g‖ 2.0544 | 8s
step    610 | train loss 0.4942 | train acc 0.812 | val loss 1.3287 | val acc 0.596 | ‖g‖ 2.5085 | 8s
step    620 | train loss 0.4939 | train acc 0.797 | val loss 1.3624 | val acc 0.573 | ‖g‖ 3.9885 | 8s
step    630 | train loss 0.5286 | train acc 0.797 | val loss 1.3313 | val acc 0.550 | ‖g‖ 2.5426 | 8s
step    640 | train loss 0.5540 | train acc 0.797 | val loss 1.2846 | val acc 0.617 | ‖g‖ 5.1800 | 8s
step    650 | train loss 0.5800 | train acc 0.750 | val loss 1.3942 | val acc 0.556 | ‖g‖ 3.3745 | 8s
step    660 | train loss 0.4700 | train acc 0.812 | val loss 1.3730 | val acc 0.542 | ‖g‖ 2.5344 | 8s
step    670 | train loss 0.4688 | train acc 0.789 | val loss 1.2551 | val acc 0.585 | ‖g‖ 2.7923 | 8s
step    680 | train loss 0.4343 | train acc 0.844 | val loss 1.3217 | val acc 0.604 | ‖g‖ 2.6575 | 9s
step    690 | train loss 0.4425 | train acc 0.820 | val loss 1.3249 | val acc 0.579 | ‖g‖ 2.3015 | 9s
step    700 | train loss 0.4440 | train acc 0.852 | val loss 1.2793 | val acc 0.585 | ‖g‖ 2.6751 | 9s
step    710 | train loss 0.3977 | train acc 0.859 | val loss 1.2523 | val acc 0.577 | ‖g‖ 3.0496 | 9s
step    720 | train loss 0.3820 | train acc 0.867 | val loss 1.3231 | val acc 0.598 | ‖g‖ 2.5672 | 9s
step    730 | train loss 0.4405 | train acc 0.812 | val loss 1.2879 | val acc 0.590 | ‖g‖ 2.3979 | 9s
step    740 | train loss 0.3975 | train acc 0.828 | val loss 1.4168 | val acc 0.571 | ‖g‖ 3.2536 | 9s
step    750 | train loss 0.3738 | train acc 0.812 | val loss 1.3789 | val acc 0.571 | ‖g‖ 2.3538 | 9s
step    760 | train loss 0.3436 | train acc 0.867 | val loss 1.4148 | val acc 0.583 | ‖g‖ 2.2794 | 9s
step    770 | train loss 0.4588 | train acc 0.828 | val loss 1.2595 | val acc 0.598 | ‖g‖ 3.3640 | 10s
step    780 | train loss 0.3989 | train acc 0.844 | val loss 1.3942 | val acc 0.533 | ‖g‖ 2.5947 | 10s
step    790 | train loss 0.3692 | train acc 0.875 | val loss 1.3239 | val acc 0.575 | ‖g‖ 2.0247 | 10s
step    800 | train loss 0.3013 | train acc 0.898 | val loss 1.3926 | val acc 0.583 | ‖g‖ 2.3458 | 10s
step    810 | train loss 0.5120 | train acc 0.805 | val loss 1.3736 | val acc 0.581 | ‖g‖ 2.8832 | 10s
step    820 | train loss 0.5935 | train acc 0.750 | val loss 1.5080 | val acc 0.567 | ‖g‖ 4.3917 | 10s
step    830 | train loss 0.3692 | train acc 0.852 | val loss 1.4727 | val acc 0.567 | ‖g‖ 2.2362 | 10s
step    840 | train loss 0.4094 | train acc 0.828 | val loss 1.4281 | val acc 0.598 | ‖g‖ 3.0396 | 10s
step    850 | train loss 0.4100 | train acc 0.797 | val loss 1.4249 | val acc 0.583 | ‖g‖ 3.4023 | 11s
step    860 | train loss 0.4085 | train acc 0.844 | val loss 1.3499 | val acc 0.600 | ‖g‖ 2.1730 | 11s
step    870 | train loss 0.3511 | train acc 0.867 | val loss 1.3816 | val acc 0.588 | ‖g‖ 2.7747 | 11s
step    880 | train loss 0.3261 | train acc 0.867 | val loss 1.3793 | val acc 0.577 | ‖g‖ 2.2094 | 11s
step    890 | train loss 0.4634 | train acc 0.820 | val loss 1.3709 | val acc 0.596 | ‖g‖ 4.1672 | 11s
step    900 | train loss 0.3441 | train acc 0.852 | val loss 1.5151 | val acc 0.573 | ‖g‖ 2.9470 | 11s
step    910 | train loss 0.3635 | train acc 0.867 | val loss 1.5231 | val acc 0.560 | ‖g‖ 2.4827 | 11s
step    920 | train loss 0.4582 | train acc 0.836 | val loss 1.4328 | val acc 0.577 | ‖g‖ 3.3421 | 11s
step    930 | train loss 0.3787 | train acc 0.852 | val loss 1.4594 | val acc 0.573 | ‖g‖ 3.4664 | 11s
step    940 | train loss 0.3711 | train acc 0.883 | val loss 1.4035 | val acc 0.579 | ‖g‖ 3.0185 | 12s
step    950 | train loss 0.4013 | train acc 0.836 | val loss 1.4800 | val acc 0.569 | ‖g‖ 4.1106 | 12s
step    960 | train loss 0.2921 | train acc 0.891 | val loss 1.4201 | val acc 0.590 | ‖g‖ 3.0456 | 12s
step    970 | train loss 0.3446 | train acc 0.867 | val loss 1.4265 | val acc 0.598 | ‖g‖ 4.6005 | 12s
step    980 | train loss 0.3132 | train acc 0.867 | val loss 1.5133 | val acc 0.623 | ‖g‖ 3.4329 | 12s
step    990 | train loss 0.3483 | train acc 0.867 | val loss 1.4789 | val acc 0.579 | ‖g‖ 2.4569 | 12s
step   1000 | train loss 0.2851 | train acc 0.891 | val loss 1.4718 | val acc 0.565 | ‖g‖ 2.7561 | 12s
step   1100 | train loss 0.3194 | train acc 0.820 | val loss 1.3716 | val acc 0.617 | ‖g‖ 3.3939 | 13s
step   1200 | train loss 0.2181 | train acc 0.945 | val loss 1.3813 | val acc 0.621 | ‖g‖ 1.7568 | 14s
step   1300 | train loss 0.2224 | train acc 0.922 | val loss 1.4140 | val acc 0.588 | ‖g‖ 3.6347 | 15s
step   1400 | train loss 0.2446 | train acc 0.938 | val loss 1.5363 | val acc 0.585 | ‖g‖ 3.4219 | 17s
step   1500 | train loss 0.2645 | train acc 0.875 | val loss 1.4897 | val acc 0.613 | ‖g‖ 3.9867 | 18s
step   1600 | train loss 0.2549 | train acc 0.906 | val loss 1.5702 | val acc 0.592 | ‖g‖ 3.2866 | 19s
step   1700 | train loss 0.2885 | train acc 0.852 | val loss 1.5769 | val acc 0.619 | ‖g‖ 4.0167 | 20s
step   1800 | train loss 0.2242 | train acc 0.930 | val loss 1.4785 | val acc 0.596 | ‖g‖ 3.1533 | 21s
step   1900 | train loss 0.2684 | train acc 0.875 | val loss 1.6597 | val acc 0.579 | ‖g‖ 6.0496 | 22s
step   2000 | train loss 0.1364 | train acc 0.945 | val loss 1.6426 | val acc 0.596 | ‖g‖ 4.0619 | 23s
step   2100 | train loss 0.1437 | train acc 0.977 | val loss 1.7515 | val acc 0.583 | ‖g‖ 3.0287 | 25s
step   2200 | train loss 0.2178 | train acc 0.922 | val loss 1.4872 | val acc 0.598 | ‖g‖ 4.4500 | 26s
step   2300 | train loss 0.1614 | train acc 0.953 | val loss 1.5072 | val acc 0.604 | ‖g‖ 3.0430 | 27s
step   2400 | train loss 0.1606 | train acc 0.914 | val loss 1.6807 | val acc 0.621 | ‖g‖ 4.4928 | 28s
step   2500 | train loss 0.1560 | train acc 0.945 | val loss 1.6091 | val acc 0.590 | ‖g‖ 3.3051 | 29s
step   2600 | train loss 0.1810 | train acc 0.922 | val loss 1.5999 | val acc 0.592 | ‖g‖ 3.9514 | 30s
step   2700 | train loss 0.1699 | train acc 0.938 | val loss 1.7145 | val acc 0.590 | ‖g‖ 3.6354 | 32s
step   2800 | train loss 0.0908 | train acc 0.984 | val loss 1.8653 | val acc 0.602 | ‖g‖ 2.3455 | 33s
step   2900 | train loss 0.1918 | train acc 0.930 | val loss 1.6973 | val acc 0.606 | ‖g‖ 4.4998 | 34s
step   3000 | train loss 0.1577 | train acc 0.938 | val loss 1.5973 | val acc 0.567 | ‖g‖ 3.9672 | 35s
step   3100 | train loss 0.1488 | train acc 0.953 | val loss 1.8658 | val acc 0.560 | ‖g‖ 3.7453 | 36s
step   3200 | train loss 0.1362 | train acc 0.945 | val loss 1.7081 | val acc 0.602 | ‖g‖ 3.0846 | 37s
step   3300 | train loss 0.1444 | train acc 0.953 | val loss 1.7788 | val acc 0.596 | ‖g‖ 4.0229 | 38s
step   3400 | train loss 0.1457 | train acc 0.945 | val loss 1.7849 | val acc 0.590 | ‖g‖ 4.2702 | 40s
step   3500 | train loss 0.2693 | train acc 0.891 | val loss 1.6093 | val acc 0.623 | ‖g‖ 8.1903 | 41s
step   3600 | train loss 0.1495 | train acc 0.938 | val loss 1.7695 | val acc 0.623 | ‖g‖ 4.9067 | 42s
step   3700 | train loss 0.0891 | train acc 0.977 | val loss 1.6065 | val acc 0.644 | ‖g‖ 3.4907 | 43s
step   3800 | train loss 0.0504 | train acc 0.992 | val loss 1.8573 | val acc 0.594 | ‖g‖ 2.0316 | 45s
step   3900 | train loss 0.2455 | train acc 0.906 | val loss 1.5025 | val acc 0.617 | ‖g‖ 5.4780 | 47s
step   4000 | train loss 0.0942 | train acc 1.000 | val loss 1.6535 | val acc 0.642 | ‖g‖ 4.8231 | 48s
step   4100 | train loss 0.2364 | train acc 0.914 | val loss 1.6412 | val acc 0.585 | ‖g‖ 6.0354 | 49s
step   4200 | train loss 0.1838 | train acc 0.914 | val loss 1.6172 | val acc 0.588 | ‖g‖ 5.7575 | 51s
step   4300 | train loss 0.2025 | train acc 0.898 | val loss 1.7074 | val acc 0.617 | ‖g‖ 7.2967 | 52s
step   4400 | train loss 0.1856 | train acc 0.945 | val loss 1.7527 | val acc 0.606 | ‖g‖ 5.5619 | 54s
step   4500 | train loss 0.1518 | train acc 0.953 | val loss 1.5052 | val acc 0.621 | ‖g‖ 3.7392 | 55s
step   4600 | train loss 0.0573 | train acc 0.992 | val loss 1.5870 | val acc 0.623 | ‖g‖ 2.1332 | 56s
step   4700 | train loss 0.1245 | train acc 0.938 | val loss 1.4962 | val acc 0.617 | ‖g‖ 5.0135 | 58s
step   4800 | train loss 0.1886 | train acc 0.938 | val loss 1.9026 | val acc 0.554 | ‖g‖ 6.5880 | 59s
step   4900 | train loss 0.1453 | train acc 0.945 | val loss 1.5626 | val acc 0.619 | ‖g‖ 6.7309 | 60s
step   5000 | train loss 0.2269 | train acc 0.914 | val loss 1.4845 | val acc 0.625 | ‖g‖ 6.7269 | 61s
step   5100 | train loss 0.1117 | train acc 0.977 | val loss 1.5338 | val acc 0.633 | ‖g‖ 4.3523 | 62s
step   5200 | train loss 0.0994 | train acc 0.977 | val loss 1.6222 | val acc 0.635 | ‖g‖ 3.6716 | 64s
step   5300 | train loss 0.1653 | train acc 0.953 | val loss 1.7222 | val acc 0.617 | ‖g‖ 6.6558 | 65s
step   5400 | train loss 0.1200 | train acc 0.945 | val loss 1.5471 | val acc 0.617 | ‖g‖ 6.0865 | 66s
step   5500 | train loss 0.1566 | train acc 0.945 | val loss 1.6443 | val acc 0.619 | ‖g‖ 6.0993 | 68s
step   5600 | train loss 0.2019 | train acc 0.914 | val loss 1.6585 | val acc 0.631 | ‖g‖ 11.1241 | 69s
step   5700 | train loss 0.1393 | train acc 0.953 | val loss 1.5570 | val acc 0.633 | ‖g‖ 6.9628 | 70s
step   5800 | train loss 0.2330 | train acc 0.938 | val loss 1.4816 | val acc 0.673 | ‖g‖ 6.7976 | 71s
step   5900 | train loss 0.3634 | train acc 0.906 | val loss 1.6160 | val acc 0.637 | ‖g‖ 6.6158 | 73s
step   6000 | train loss 0.0731 | train acc 0.984 | val loss 1.5298 | val acc 0.640 | ‖g‖ 3.5738 | 74s
step   6100 | train loss 0.1274 | train acc 0.945 | val loss 1.6295 | val acc 0.656 | ‖g‖ 6.7477 | 75s
step   6200 | train loss 0.1025 | train acc 0.969 | val loss 1.6862 | val acc 0.650 | ‖g‖ 4.1173 | 76s
step   6300 | train loss 0.1983 | train acc 0.938 | val loss 1.4138 | val acc 0.662 | ‖g‖ 8.4634 | 77s
step   6400 | train loss 0.1761 | train acc 0.945 | val loss 1.6007 | val acc 0.633 | ‖g‖ 8.5960 | 78s
step   6500 | train loss 0.2161 | train acc 0.906 | val loss 1.6665 | val acc 0.619 | ‖g‖ 8.7616 | 80s
step   6600 | train loss 0.0600 | train acc 0.977 | val loss 1.5678 | val acc 0.660 | ‖g‖ 3.4058 | 81s
step   6700 | train loss 0.0800 | train acc 0.984 | val loss 1.4227 | val acc 0.665 | ‖g‖ 5.3345 | 82s
step   6800 | train loss 0.0980 | train acc 0.969 | val loss 1.5411 | val acc 0.688 | ‖g‖ 4.9519 | 83s
step   6900 | train loss 0.1945 | train acc 0.906 | val loss 1.5282 | val acc 0.658 | ‖g‖ 10.9734 | 84s
step   7000 | train loss 0.0957 | train acc 0.961 | val loss 1.7568 | val acc 0.642 | ‖g‖ 5.9667 | 86s
step   7100 | train loss 0.2903 | train acc 0.930 | val loss 1.7136 | val acc 0.650 | ‖g‖ 8.8045 | 87s
step   7200 | train loss 0.0497 | train acc 0.984 | val loss 1.5888 | val acc 0.658 | ‖g‖ 6.2212 | 89s
step   7300 | train loss 0.1365 | train acc 0.961 | val loss 1.4637 | val acc 0.633 | ‖g‖ 5.0830 | 90s
step   7400 | train loss 0.1980 | train acc 0.914 | val loss 1.5954 | val acc 0.675 | ‖g‖ 7.7529 | 91s
step   7500 | train loss 0.0687 | train acc 0.984 | val loss 1.6110 | val acc 0.671 | ‖g‖ 4.2077 | 92s
step   7600 | train loss 0.0999 | train acc 0.961 | val loss 1.3908 | val acc 0.681 | ‖g‖ 5.7150 | 94s
step   7700 | train loss 0.0927 | train acc 0.969 | val loss 1.4759 | val acc 0.667 | ‖g‖ 4.2253 | 95s
step   7800 | train loss 0.0688 | train acc 0.977 | val loss 1.7463 | val acc 0.654 | ‖g‖ 6.1152 | 96s
step   7900 | train loss 0.3039 | train acc 0.898 | val loss 1.5896 | val acc 0.646 | ‖g‖ 8.4138 | 98s
step   8000 | train loss 0.1361 | train acc 0.953 | val loss 1.5851 | val acc 0.654 | ‖g‖ 5.3515 | 100s
step   8100 | train loss 0.1678 | train acc 0.969 | val loss 1.6905 | val acc 0.652 | ‖g‖ 5.6961 | 101s
step   8200 | train loss 0.1111 | train acc 0.961 | val loss 1.5491 | val acc 0.633 | ‖g‖ 5.6569 | 102s
step   8300 | train loss 0.2059 | train acc 0.938 | val loss 1.5548 | val acc 0.631 | ‖g‖ 7.0162 | 104s
step   8400 | train loss 0.1560 | train acc 0.945 | val loss 1.6144 | val acc 0.658 | ‖g‖ 9.7577 | 105s
step   8500 | train loss 0.1477 | train acc 0.945 | val loss 1.6177 | val acc 0.660 | ‖g‖ 8.9807 | 106s
step   8600 | train loss 0.1038 | train acc 0.953 | val loss 1.6653 | val acc 0.652 | ‖g‖ 8.4748 | 107s
step   8700 | train loss 0.0889 | train acc 0.953 | val loss 1.5983 | val acc 0.658 | ‖g‖ 6.4153 | 108s
step   8800 | train loss 0.1617 | train acc 0.953 | val loss 1.4696 | val acc 0.662 | ‖g‖ 8.4279 | 110s
step   8900 | train loss 0.1093 | train acc 0.953 | val loss 1.5073 | val acc 0.652 | ‖g‖ 5.1967 | 111s
step   9000 | train loss 0.0299 | train acc 1.000 | val loss 1.5364 | val acc 0.673 | ‖g‖ 3.2765 | 112s
step   9100 | train loss 0.0562 | train acc 0.984 | val loss 1.5250 | val acc 0.671 | ‖g‖ 3.7116 | 113s
step   9200 | train loss 0.1749 | train acc 0.945 | val loss 1.3178 | val acc 0.702 | ‖g‖ 9.6903 | 114s
step   9300 | train loss 0.1029 | train acc 0.969 | val loss 1.4941 | val acc 0.673 | ‖g‖ 5.4383 | 116s
step   9400 | train loss 0.0538 | train acc 0.992 | val loss 1.5399 | val acc 0.667 | ‖g‖ 3.7311 | 118s
step   9500 | train loss 0.1441 | train acc 0.945 | val loss 1.4916 | val acc 0.665 | ‖g‖ 5.6674 | 119s
step   9600 | train loss 0.0888 | train acc 0.961 | val loss 1.5755 | val acc 0.665 | ‖g‖ 6.2735 | 121s
step   9700 | train loss 0.0691 | train acc 0.969 | val loss 1.4903 | val acc 0.675 | ‖g‖ 2.7606 | 122s
step   9800 | train loss 0.1238 | train acc 0.953 | val loss 1.6472 | val acc 0.667 | ‖g‖ 10.8804 | 123s
step   9900 | train loss 0.0482 | train acc 0.992 | val loss 1.5530 | val acc 0.679 | ‖g‖ 2.7231 | 125s
step  10000 | train loss 0.0971 | train acc 0.961 | val loss 1.3890 | val acc 0.671 | ‖g‖ 5.0918 | 126s
step  10100 | train loss 0.0924 | train acc 0.977 | val loss 1.5677 | val acc 0.667 | ‖g‖ 5.0376 | 127s
step  10200 | train loss 0.0876 | train acc 0.969 | val loss 1.4553 | val acc 0.700 | ‖g‖ 5.7060 | 129s
step  10300 | train loss 0.0739 | train acc 0.969 | val loss 1.6251 | val acc 0.679 | ‖g‖ 4.4407 | 130s
step  10400 | train loss 0.0892 | train acc 0.969 | val loss 1.4533 | val acc 0.669 | ‖g‖ 7.3799 | 131s
step  10500 | train loss 0.1062 | train acc 0.953 | val loss 1.6312 | val acc 0.656 | ‖g‖ 7.8388 | 132s
step  10600 | train loss 0.1106 | train acc 0.969 | val loss 1.5280 | val acc 0.650 | ‖g‖ 5.9599 | 133s
step  10700 | train loss 0.0663 | train acc 0.984 | val loss 1.5787 | val acc 0.681 | ‖g‖ 4.4909 | 135s
step  10800 | train loss 0.0838 | train acc 0.977 | val loss 1.6001 | val acc 0.656 | ‖g‖ 7.6168 | 136s
step  10900 | train loss 0.1902 | train acc 0.945 | val loss 1.3826 | val acc 0.708 | ‖g‖ 7.9517 | 137s
step  11000 | train loss 0.0724 | train acc 0.977 | val loss 1.4321 | val acc 0.694 | ‖g‖ 4.7326 | 139s
step  11100 | train loss 0.0652 | train acc 0.984 | val loss 1.2530 | val acc 0.717 | ‖g‖ 4.9963 | 140s
step  11200 | train loss 0.0994 | train acc 0.953 | val loss 1.5837 | val acc 0.667 | ‖g‖ 8.5509 | 141s
step  11300 | train loss 0.1197 | train acc 0.953 | val loss 1.6605 | val acc 0.662 | ‖g‖ 5.7830 | 142s
step  11400 | train loss 0.0415 | train acc 0.984 | val loss 1.4687 | val acc 0.683 | ‖g‖ 4.7175 | 144s
step  11500 | train loss 0.0994 | train acc 0.961 | val loss 1.4049 | val acc 0.685 | ‖g‖ 7.5149 | 145s
step  11600 | train loss 0.2579 | train acc 0.945 | val loss 1.5154 | val acc 0.694 | ‖g‖ 10.7930 | 147s
step  11700 | train loss 0.0614 | train acc 0.977 | val loss 1.4484 | val acc 0.690 | ‖g‖ 5.1097 | 148s
step  11800 | train loss 0.1435 | train acc 0.945 | val loss 1.5424 | val acc 0.685 | ‖g‖ 11.6518 | 149s
step  11900 | train loss 0.1300 | train acc 0.961 | val loss 1.4451 | val acc 0.669 | ‖g‖ 13.5264 | 150s
step  12000 | train loss 0.0659 | train acc 0.969 | val loss 1.5834 | val acc 0.685 | ‖g‖ 6.3209 | 151s
step  12100 | train loss 0.0941 | train acc 0.961 | val loss 1.3726 | val acc 0.665 | ‖g‖ 4.5942 | 152s
